ADM1_NAME,ADM2_NAME,year,sightings
New South Wales,Armidale Dumaresq (A),1990,11
New South Wales,Armidale Dumaresq (A),1991,4
New South Wales,Armidale Dumaresq (A),1992,409
New South Wales,Armidale Dumaresq (A),1993,191
New South Wales,Armidale Dumaresq (A),1994,15
New South Wales,Armidale Dumaresq (A),1995,31
New South Wales,Armidale Dumaresq (A),1996,16
New South Wales,Armidale Dumaresq (A),1997,34
New South Wales,Armidale Dumaresq (A),1998,17
New South Wales,Armidale Dumaresq (A),1999,19
New South Wales,Armidale Dumaresq (A),2000,32
New South Wales,Armidale Dumaresq (A),2001,41
New South Wales,Armidale Dumaresq (A),2002,32
New South Wales,Armidale Dumaresq (A),2003,15
New South Wales,Armidale Dumaresq (A),2004,37
New South Wales,Armidale Dumaresq (A),2005,23
New South Wales,Armidale Dumaresq (A),2006,21
New South Wales,Armidale Dumaresq (A),2007,28
New South Wales,Armidale Dumaresq (A),2008,33
New South Wales,Armidale Dumaresq (A),2009,56
New South Wales,Armidale Dumaresq (A),2010,147
New South Wales,Armidale Dumaresq (A),2011,69
New South Wales,Armidale Dumaresq (A),2012,76
New South Wales,Armidale Dumaresq (A),2013,208
New South Wales,Armidale Dumaresq (A),2014,126
New South Wales,Armidale Dumaresq (A),2015,190
New South Wales,Armidale Dumaresq (A),2016,181
New South Wales,Armidale Dumaresq (A),2017,137
New South Wales,Armidale Dumaresq (A),2018,104
New South Wales,Armidale Dumaresq (A),2019,134
New South Wales,Armidale Dumaresq (A),2020,101
New South Wales,Armidale Dumaresq (A),2021,63
New South Wales,Armidale Dumaresq (A),2022,114
New South Wales,Armidale Dumaresq (A),2023,3083
New South Wales,Armidale Dumaresq (A),2024,725
New South Wales,Armidale Dumaresq (A),2025,989
New South Wales,Armidale Dumaresq (A),2026,569
New South Wales,Bega Valley (A),1990,150
New South Wales,Bega Valley (A),1991,225
New South Wales,Bega Valley (A),1992,228
New South Wales,Bega Valley (A),1993,226
New South Wales,Bega Valley (A),1994,1752
New South Wales,Bega Valley (A),1995,1101
New South Wales,Bega Valley (A),1996,908
New South Wales,Bega Valley (A),1997,616
New South Wales,Bega Valley (A),1998,223
New South Wales,Bega Valley (A),1999,294
New South Wales,Bega Valley (A),2000,338
New South Wales,Bega Valley (A),2001,284
New South Wales,Bega Valley (A),2002,128
New South Wales,Bega Valley (A),2003,115
New South Wales,Bega Valley (A),2004,73
New South Wales,Bega Valley (A),2005,151
New South Wales,Bega Valley (A),2006,110
New South Wales,Bega Valley (A),2007,123
New South Wales,Bega Valley (A),2008,229
New South Wales,Bega Valley (A),2009,229
