ADM1_NAME,ADM2_NAME,year,fire_events,total_area_ha,max_area_ha,major_fires
New South Wales,Armidale Dumaresq (A),1990,1,21.67720699,21.67720699,0
New South Wales,Armidale Dumaresq (A),1994,2,6269.07438717,4543.23907796,0
New South Wales,Armidale Dumaresq (A),1995,1,4041.62116473,4041.62116473,0
New South Wales,Armidale Dumaresq (A),2000,1,2075.65911902,2075.65911902,0
New South Wales,Armidale Dumaresq (A),2001,5,11682.83264237,4961.45158428,0
New South Wales,Armidale Dumaresq (A),2002,2,1230.98154471,1169.22600843,0
New South Wales,Armidale Dumaresq (A),2003,9,7134.78687025,5322.73473954,0
New South Wales,Armidale Dumaresq (A),2004,12,5814.53929391,4642.06575504,0
New South Wales,Armidale Dumaresq (A),2005,3,511.4865493,433.85858966,0
New South Wales,Armidale Dumaresq (A),2006,19,5117.52287283,3075.33206845,0
New South Wales,Armidale Dumaresq (A),2007,7,16517.35932085,13972.58977321,1
New South Wales,Armidale Dumaresq (A),2008,11,3289.54514274,843.95716508,0
New South Wales,Armidale Dumaresq (A),2009,16,6734.46573671,1131.74107399,0
New South Wales,Armidale Dumaresq (A),2010,3,959.8838031600001,766.82745406,0
New South Wales,Armidale Dumaresq (A),2011,1,90.07907233,90.07907233,0
New South Wales,Armidale Dumaresq (A),2012,11,2129.50602191,860.90728852,0
New South Wales,Armidale Dumaresq (A),2013,14,1882.82619312,652.31083579,0
New South Wales,Armidale Dumaresq (A),2014,5,428.04505071000006,402.49067162,0
New South Wales,Armidale Dumaresq (A),2015,4,1296.10834839,627.30647217,0
New South Wales,Armidale Dumaresq (A),2016,11,7293.86423783,5776.56188652,0
New South Wales,Armidale Dumaresq (A),2017,8,7393.71504773,3439.00002859,0
New South Wales,Armidale Dumaresq (A),2018,4,5299.16614715,3403.69159485,0
New South Wales,Armidale Dumaresq (A),2019,13,16993.10389308,15627.72518447,1
New South Wales,Armidale Dumaresq (A),2020,1,1.12450779,1.12450779,0
New South Wales,Armidale Dumaresq (A),2021,2,189.16231656000002,99.58843842,0
New South Wales,Armidale Dumaresq (A),2023,12,6206.045496,1818.78410512,0
New South Wales,Armidale Dumaresq (A),2024,3,1364.2256972700002,1357.51830954,0
New South Wales,Armidale Dumaresq (A),2025,1,957.81496932,957.81496932,0
New South Wales,Armidale Dumaresq (A),2026,2,1293.86178388,1066.94250913,0
New South Wales,Bega Valley (A),1984,1,89.62105532,89.62105532,0
New South Wales,Bega Valley (A),1986,2,533.00403171,524.70913536,0
New South Wales,Bega Valley (A),1988,1,29.81690234,29.81690234,0
New South Wales,Bega Valley (A),1990,1,31.22304521,31.22304521,0
New South Wales,Bega Valley (A),1993,1,1455.54400074,1455.54400074,0
New South Wales,Bega Valley (A),1994,1,77.4258936,77.4258936,0
New South Wales,Bega Valley (A),1995,4,1502.36270315,769.89830457,0
New South Wales,Bega Valley (A),1996,9,3590.7497578899997,1900.41177457,0
New South Wales,Bega Valley (A),1997,2,778.22001815,431.83330243,0
New South Wales,Bega Valley (A),1999,3,152.46493442,96.67224209,0
New South Wales,Bega Valley (A),2000,5,92.98122399,46.21826272,0
New South Wales,Bega Valley (A),2001,9,2314.80253651,579.97605003,0
