ADM1_NAME,ADM2_NAME,fire_count,total_area_ha,earliest_fire,latest_fire,avg_area_ha_per_fire
Victoria,Mildura (RC),74256,431396.1648398662,1971-01-01,2025-06-26,5.80957989711089
Victoria,Wellington (S),59958,261735.98938219046,1965-02-21,2025-05-14,4.365322215253852
Victoria,Alpine (S),52478,3666558.641775362,2000-04-11,2025-04-29,69.86849044886166
Victoria,Mansfield (S),43236,95810.19368086093,2000-04-03,2025-05-13,2.2159819058391372
Victoria,East Gippsland (S),33453,920230.0138322288,1965-02-21,2025-05-19,27.50814617021579
Victoria,Murrindindi (S),32368,138497.48398180224,2002-04-09,2025-05-12,4.278839717678023
Victoria,Towong (S),29209,247140.42058213052,2000-04-02,2025-04-30,8.461105158756908
Victoria,Wangaratta (RC),26511,82355.42043080345,1943-12-22,2025-05-01,3.1064622394780828
Western Australia,East Pilbara (S),18505,22006992.83568051,1984-01-01,2026-05-14,1189.245762533397
Western Australia,Ashburton (S),17335,14669950.69391393,1983-01-01,2026-06-30,846.2619379240801
Victoria,Yarra Ranges (S),13289,70426.08939973045,1996-12-11,2025-05-16,5.299577801168669
Victoria,Hindmarsh (S),13062,245405.01135802746,1976-04-01,2025-02-11,18.787705662075293
Western Australia,Wiluna (S),12198,12891918.98524208,1997-12-01,2025-10-27,1056.8879312380784
Western Australia,Manjimup (S),11312,4114526.92159172,1938-01-01,2026-05-12,363.73116350704737
Victoria,West Wimmera (S),8808,168195.65484684706,1976-01-01,2025-05-12,19.095782793692898
Victoria,Baw Baw (S),8691,340376.9526260267,1999-02-01,2025-05-11,39.16430245380586
Western Australia,Roebourne (S),7930,1733885.23104381,1988-04-22,2025-12-15,218.64883115306557
Western Australia,Laverton (S),7432,21139006.34216449,1980-12-31,2026-02-16,2844.3227048122294
Western Australia,Collie (S),7394,1774502.11635395,1938-01-01,2026-06-05,239.9921715382675
Victoria,Mitchell (S),4818,28444.23335835432,2000-04-05,2025-05-21,5.903742913730659
Western Australia,Port Hedland (T),3917,1499361.91083281,1990-11-15,2025-10-12,382.78322972499615
Western Australia,Murray (S),3650,965089.3202201499,1938-01-01,2026-05-25,264.4080329370274
Western Australia,Donnybrook-Balingup (S),3633,852261.43339068,1938-01-01,2026-05-29,234.58888890467384
Victoria,Surf Coast (S),3618,14167.827587507385,1996-11-06,2025-06-20,3.9159280230810904
Victoria,Glenelg (S),3538,300587.2153525834,1979-02-02,2025-04-10,84.9596425530196
Victoria,Benalla (RC),3450,22631.19012941869,2000-03-28,2025-04-01,6.559765254903968
Western Australia,Menzies (S),3282,8751428.04891239,1979-12-16,2025-11-21,2666.492397596706
Western Australia,Nannup (S),3234,2091438.87982647,1938-01-01,2026-05-22,646.7034260440538
Western Australia,Wanneroo (C),3073,260546.62905125,1958-01-01,2026-06-23,84.78575628091441
Western Australia,Harvey (S),3040,844899.26013642,1938-01-01,2026-04-23,277.92738820276975
Western Australia,Mundaring (S),2786,364181.19083801,1938-01-01,2026-06-04,130.71830252620603
Victoria,Macedon Ranges (S),2773,27308.28189272402,1980-09-29,2025-05-04,9.847919903614864
Victoria,Colac-Otway (S),2541,170165.8177416289,1997-03-11,2025-06-23,66.96805105927939
Western Australia,Serpentine-Jarrahdale (S),2499,533313.94225238,1938-01-01,2026-05-27,213.41094127746297
