ADM1_NAME,ADM2_NAME,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
New South Wales,Wentworth (A),0.23748368,0.2662594,0.29939047,0.2521057,0.25098568,0.2668297,0.28877234,0.3217499,0.29291382,0.27535108,0.27221367,0.30807245,0.2736181,0.29493344,0.27415103,0.25796533,0.25132728,0.27317867,0.32170781,0.28600186,0.24140805,0.2525537,0.24639119,0.262092,0.26520717,0.2695327,0.22582597,0.23827612,0.30257836,0.36991096,0.30143386,0.28820428,0.30126426,0.28610036,0.3074605,0.2936012,0.23804548,0.22092786,0.2461107,0.26440877,0.35165486
Queensland,Cairns (R),0.75952893,0.76126313,0.758918,0.75727576,0.7582956,0.7592788,0.7573575,0.7580705,0.76291305,0.7519194,0.74944025,0.7610526,0.750934,0.76139873,0.765198,0.763844,0.7713166,0.7690025,0.75910044,0.761551,0.7423467,0.7486892,0.7608388,0.76758397,0.7534895,0.76932704,0.7632643,0.7594722,0.7784175,0.761169,0.7664219,0.7730969,0.7620397,0.77059716,0.7807144,0.7831875,0.7654265,0.7699604,0.7791013,0.78699803,0.7893275
Queensland,Cassowary Coast (R),0.7355061,0.73843473,0.7402005,0.7329866,0.73965114,0.7387185,0.7437458,0.7390134,0.74096555,0.73125964,0.728073,0.74419475,0.7340918,0.74391603,0.7436019,0.7442168,0.7582828,0.74991214,0.7453194,0.7412685,0.7300829,0.73585033,0.74561554,0.7482599,0.7269804,0.7465231,0.75666004,0.74043685,0.76989317,0.68901175,0.72837746,0.74237996,0.7314095,0.74669784,0.75619817,0.76373255,0.7433787,0.74239874,0.7614713,0.76880616,0.7681322
Queensland,Charters Towers (R),0.34977964,0.37703457,0.3929092,0.36148158,0.3625794,0.34493583,0.36845505,0.4128317,0.4001055,0.3865428,0.33199805,0.32503864,0.33935785,0.34328467,0.33692572,0.38221768,0.43133077,0.40385872,0.45175573,0.40144923,0.36462262,0.33212748,0.3473941,0.34472677,0.3795205,0.39027143,0.42569488,0.4174744,0.45909655,0.4560011,0.44723842,0.39049053,0.37167636,0.33386818,0.38491493,0.38229996,0.37551644,0.41314727,0.39596635,0.43888864,0.45792326
Queensland,Cook (S),0.5184791,0.5121982,0.5233653,0.5326186,0.5083955,0.51476586,0.5095323,0.5333771,0.51040804,0.504264,0.48865372,0.5087241,0.49934244,0.5212924,0.5365348,0.51871294,0.5431108,0.54734355,0.54682,0.5265983,0.50889444,0.4914432,0.52437276,0.5089569,0.5392815,0.524249,0.5298112,0.51950395,0.5556336,0.5459818,0.53797466,0.5270034,0.53890306,0.51551723,0.5368238,0.55052066,0.53451854,0.55010724,0.5374717,0.5726656,0.5739785
Queensland,Hinchinbrook (S),0.6645205,0.6666059,0.67263013,0.6675146,0.67798185,0.66501665,0.6742127,0.68608326,0.6727455,0.6571115,0.64561874,0.6754469,0.65160453,0.6734055,0.67012936,0.6825806,0.71674925,0.6876652,0.6829945,0.6752509,0.6455289,0.64346325,0.6872529,0.68435293,0.7037571,0.6960315,0.70449257,0.67687744,0.7280305,0.65627795,0.6837411,0.6796836,0.67548716,0.67037857,0.70806646,0.7193808,0.6857093,0.6920593,0.6982448,0.72289664,0.72990626
Queensland,Tablelands (R),0.41486073,0.42600188,0.43474773,0.4273626,0.41810685,0.4167354,0.41553468,0.45210698,0.4169936,0.41993564,0.39050025,0.40844226,0.3951985,0.43399584,0.4395597,0.43649256,0.46136746,0.46673357,0.46830377,0.44677624,0.4213952,0.39761266,0.43478426,0.41091472,0.45209962,0.43861362,0.46016222,0.44011897,0.46420124,0.4745299,0.4538907,0.43832073,0.4457899,0.40621933,0.44853282,0.46918485,0.44931272,0.45052126,0.44048122,0.47937113,0.48368213
Queensland,Townsville (C),0.48148054,0.50166005,0.5058829,0.49484253,0.49792263,0.4633425,0.5136811,0.55044824,0.5294686,0.49556494,0.4625965,0.4634411,0.47367835,0.4680026,0.47848576,0.51426154,0.5779573,0.5327482,0.5646044,0.5170526,0.48183778,0.45022395,0.51134527,0.49242204,0.5498882,0.52757347,0.5389925,0.52208734,0.59704334,0.5523523,0.5576949,0.5245811,0.53150076,0.47484887,0.54279536,0.5685864,0.53931946,0.55351466,0.54809827,0.6026305,0.5990469
Queensland,Etheridge (S),0.35055277,0.36750475,0.38765353,0.34743088,0.35790828,0.35951465,0.34603378,0.3943359,0.3669141,0.37439218,0.34042364,0.36016488,0.33593062,0.3789371,0.35970232,0.3803238,0.4065173,0.4060614,0.421089,0.39328286,0.38084468,0.3453858,0.37314847,0.35376054,0.40222114,0.38486683,0.40410194,0.39019608,0.42378616,0.4366621,0.4063468,0.35013306,0.3639123,0.3425265,0.38773742,0.4132654,0.39200634,0.38478142,0.38365212,0.42706734,0.4183473
New South Wales,Armidale Dumaresq (A),0.57399017,0.6416673,0.6473091,0.6201919,0.57127434,0.62614423,0.6281572,0.618911,0.6437956,0.5708526,0.5938279,0.60293484,0.5688482,0.61370933,0.6442892,0.625996,0.63239557,0.6608716,0.60234624,0.6391082,0.5560389,0.6195265,0.59963226,0.59665996,0.6059408,0.62362903,0.6312793,0.6224253,0.65037394,0.6730806,0.62331486,0.6186759,0.5736813,0.62933576,0.6075188,0.6470557,0.5794132,0.48200414,0.6223871,0.6600029,0.681577
New South Wales,Clarence Valley (A),0.69152904,0.7160239,0.7120634,0.7005138,0.66802984,0.70280474,0.70845056,0.70170987,0.6976272,0.6583502,0.69045824,0.6754517,0.65933937,0.68397087,0.70595527,0.6971323,0.68744135,0.72346985,0.6818562,0.700944,0.639873,0.67774814,0.69995713,0.691786,0.7169567,0.71180457,0.7151837,0.7075872,0.7307906,0.73252934,0.7115834,0.71130276,0.69094956,0.7341936,0.70332307,0.73209727,0.72200745,0.6492838,0.69781363,0.73121035,0.73333377
